curve_id,curve_label,curve_role,panel,quantity,x_log10_1pz,redshift,value_mpc3,colour,linestyle,source
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.4399509362,26.5391756600,9.4033896233e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.4554330487,27.5386252512,9.2626769821e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.4703700158,28.5372470760,8.3550424860e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.4848436128,29.5382124959,6.8184010922e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.4988265766,30.5374501156,5.0494928490e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.5123734229,31.5366939978,3.4554280290e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.5382678006,33.5356632198,1.4808399325e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.5506698475,34.5361068902,1.0072633144e-01,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.5627175452,35.5357094772,7.0568654064e-02,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.5744381598,36.5351503464,4.8436804918e-02,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.5858316878,37.5328993287,3.1432638358e-02,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.5969526416,38.5323508979,1.8803008244e-02,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6078010211,39.5322787810,1.0293712128e-02,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6183768296,40.5314247110,5.2608769109e-03,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6287073266,41.5311696674,2.6436904361e-03,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6387925054,42.5303847132,1.2290674380e-03,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6583086867,44.5311570288,2.5176496283e-04,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6677396925,45.5307114053,1.0615239562e-04,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6769526395,46.5283392761,5.1046068952e-05,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6860020434,47.5290783461,3.4098844530e-05,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.6948606479,48.5291241121,1.8388080685e-05,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
popiii_subedd_a,Pop-III (sub-Eddington),popiii_subedd,a,rate,1.7035284497,49.5275743343,1.8091086247e-05,#377eb8,-,Chen+2026 Fig.6a vector path 1161; page-10 first-column trace
