curve_id,curve_label,curve_role,redshift,log10_mbh_seed_msun,phi_mpc3_dex1,colour,linestyle,source
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.2813115567,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.2813115567,2.0831326726e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.3437939760,3.9493661539e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.3437939760,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.3437939760,3.9493661539e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.4062763780,6.9027633705e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.4062763780,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.4062763780,6.9027633705e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.4687587973,1.1002592234e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.4687587973,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.4687587973,1.1002592234e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.5312411992,1.6036909627e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.5312411992,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.5312411992,1.6036909627e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.5937236185,2.1476326523e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.5937236185,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.5937236185,2.1476326523e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.6562060205,2.6514560416e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.6562060205,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.6562060205,2.6514560416e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.7186884225,3.0157800674e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.7186884225,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.7186884225,3.0157800674e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.7813115619,3.1601357558e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.7813115619,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.7813115619,3.1601357558e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.8437939812,3.0569299463e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.8437939812,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.8437939812,3.0569299463e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.9062763832,2.7502749460e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.9062763832,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.9062763832,2.7502749460e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,1.9687588025,2.3485854523e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,1.9687588025,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,1.9687588025,2.3485854523e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.0312412044,1.9732115588e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.0312412044,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.0312412044,1.9732115588e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.0937236064,1.7419037660e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.0937236064,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.0937236064,1.7419037660e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.1562060257,1.7407238503e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.1562060257,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.1562060257,1.7407238503e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.2186884277,1.9974268244e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.2186884277,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.2186884277,1.9974268244e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.2811708469,2.4895186755e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.2811708469,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.2811708469,2.4895186755e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.3437939691,3.1451812858e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.3437939691,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.3437939691,3.1451812858e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.4062763884,3.8672689266e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.4062763884,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.4062763884,3.8672689266e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.4687587904,4.5409975673e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.4687587904,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.4687587904,4.5409975673e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.5312412096,5.0816357868e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.5312412096,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.5312412096,5.0816357868e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.5937236116,5.4268743134e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.5937236116,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.5937236116,5.4268743134e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.6562060309,5.5458365809e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.6562060309,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.6562060309,5.5458365809e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.7186884329,5.4452922228e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.7186884329,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.7186884329,5.4452922228e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.7811708348,5.1579597368e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.7811708348,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.7811708348,5.1579597368e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.8437939743,4.7358432777e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.8437939743,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.8437939743,4.7358432777e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.9062763936,4.2262624525e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.9062763936,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.9062763936,4.2262624525e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,2.9687587956,3.6731467490e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,2.9687587956,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,2.9687587956,3.6731467490e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.0312411975,3.1175966051e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.0312411975,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.0312411975,3.1175966051e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.0937236168,2.5945803623e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.0937236168,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.0937236168,2.5945803623e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.1562060188,2.1287969302e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.1562060188,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.1562060188,2.1287969302e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.2186884381,1.7219526668e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.2186884381,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.2186884381,1.7219526668e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.2811708400,1.3731820615e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.2811708400,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.2811708400,1.3731820615e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.3437939795,1.0708371124e-01,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.3437939795,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.3437939795,1.0708371124e-01,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.4062763815,8.1992254898e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.4062763815,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.4062763815,8.1992254898e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.4687588008,6.1725554285e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.4687588008,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
