Phi [lgM☉⁻¹Mpc⁻³],sigma_Phi [lgM☉⁻¹Mpc⁻³],Mbh [M☉],sigma_Mbh,colour,face colour,shape,label,ADSABS,data
-2.7668900362736326,,22946.54289455961,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.767077783076939,,23154.59545686154,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.767353993628246,,23364.534397816646,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7753106395094025,,23576.376820912537,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,23790.13998471137,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,24005.841304255864,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,24223.498352488088,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,24443.128861681114,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,24664.750724883692,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,24888.38199737778,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,25114.04089814977,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,25341.7458113746,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,25571.515287913517,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7823393706813353,,25803.36804682539,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7854791973054502,,26037.32297689177,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7914466817163195,,26273.39913815568,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.7974141661271887,,26511.615763474514,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.803381650538056,,26751.992260086685,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8079766739952596,,26994.54821119303,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8119549969358384,,27239.303377552023,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.812862545890128,,27486.27769908971,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.812862545890128,,27735.491296524204,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.812862545890128,,27986.964473004868,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.812862545890128,,28240.71771576649,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.816585024034337,,28496.77169779808,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8204933396923266,,28755.147279527464,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8204933396923266,,29015.865510520485,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.820889199053875,,29278.94763119598,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8248675219944537,,29544.415074556204,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8288458449350324,,29812.28946793293,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8328241678756125,,30082.5926347495,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.835754927296723,,30355.346596298485,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.835754927296723,,30630.57357353611,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.838501758493579,,30908.295988892318,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8464584043747365,,31188.536468097584,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8510165149011195,,31471.317842026176,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8510165149011195,,31756.663148556177,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8530416346574654,,32044.59563444637,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8570199575980455,,32335.13875723015,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8609982805386243,,32628.316187126366,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8649766034792035,,32924.15180896806,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8689549264197822,,33222.669724148116,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.872933249360361,,33523.89425258279,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.8859196002806162,,33827.84993469308,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9018328920429317,,34134.561533403954,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9044320715165073,,34444.054036161804,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9044320715165073,,34756.35265697018,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9080864516676526,,35071.48283844369,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9120628653187057,,35389.470253881176,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9120628653187057,,35710.34080935703,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9120628653187057,,36034.12064583181,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9120628653187057,,36360.83614128187,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9120628653187057,,36690.51391284841,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
-2.9120628653187057,,37023.18081900595,,#ff0000,none,line,Heavy Eddington-limited,https://ui.adsabs.harvard.edu/abs/2025ApJ...988..110J/abstract,
